Brand Id,Brand English,Brand Arabic
77,7Up,7Up
80,555,555
82,Abido Spices,بهارات عبيدو
83,Acdo,أكدو
84,Acorsa,أكورسا
86,Acqua Panna,أكوا بانا
90,Ahlia,أهلية
92,Ahmad Tea,شاي أحمد
93,Air Wick,إير ويك
94,Ajinomoto,أجنموتو
100,Al Badia,البادية
102,Al Forno,الفورنو
105,Alicafe,علي كافيه
106,Al kabeer,الكبير
107,Alkalive,ألكالايف
108,Al Maha,المها
111,Al Nakhil,النخيل
112,Al Naseem,النسيم
113,Alpenliebe,ألبينليبي
115,Al Rifai,الرفاعي
116,Al Taghziah,التغذية
117,AlTayyab,الطيب
119,Al Waha,الواحة
120,Al Wajba,الوجبة
122,Always,أولويز
126,Americana,أمريكانا
127,American Garden,أمريكان جاردن
129,American Heritage,أمريكان هيرتج
134,Anchor,أنكور
135,Apex,أبيكس
137,Aquafina,أكوافينا
138,Aquafresh,أكوافريش
139,Argentina,أرجنتينا
140,Ariel,أرييل
141,Arirang Bakery,مخبز أريرانج
144,Arm&Hammer,أرم أند هامر
145,Arwa,أروى
148,Avsar,أفصار
149,Axe,أكس
151,Bahlsen,باهلسن
152,Baladi,بلدي
153,Baladna,بلدنا
156,Banana Boat,بانانا بوت
159,Barilla,باريلا
161,Baskin Robbins,باسكن روبنز
164,Bebeto,بيبيتو
165,Belgian,بلجيان
166,Belo,بيلو
167,Belvita,بيلفيتا
168,Bench,بنش
172,Betty Crocker,بيتي كروكر
175,Bigen,بيجين
177,Bingo,بينجو
178,Bio Farm,بيو فارم
179,Birds Eye,أي بيرد
182,Blue Riva,بلو ريفا
187,Bonux,بونوكس
189,Borges,بورجيس
191,Bounty,باونتي
193,Britannia,بريتانيا
194,Brooke Bond,بروك بوند
199,Buenas,بويناس
201,Bundaberg,بوندابيرج
202,Burcu,بوركو
204,Cadbury,كادبوري
207,California Garden, كاليفورنيا جاردن
211,Camisa,كاميسا
212,Canary Float,كناري فلوت
213,Carefree,كير فري
215,Castania,كاستانيا
216,Castello,كاستيلو
220,Century Tuna,سنشري تونة
221,Cerelac,سيريلاك
223,Cheetos,شيتوس
224,chings,شينجس
225,Chips Ahoy,رقائق أهوي
226,Chips Oman,بطاطس عمان
227,Chtaura,شتورة
229,Chtoura Fields, شتورة فيلدس
230,chupa chups,تشوبا شوبس
231,Cif,سيف
234,Clean&Clear,كلين آند كلير
235,Clear,كلير
236,Clorox,كلوروكس
237,Close Up,كلوس أب
238,Coca Cola,كوكا كولا
239,Colgate,كولجيت
240,Comfort,كومفورت
243,Cosmaline,كوزمالين
